"institution_name","state","control","debt_mdn","earn_mdn_10y","average_cost"
"University of Central Arkansas","AR",1,"13000",45938,24265
"Central Baptist College","AR",2,"12876",46789,27468
"Cossatot Community College of the University of Arkansas","AR",1,"PS",33775,11738
"Crowley's Ridge College","AR",2,"13918",39533,25817
"East Arkansas Community College","AR",1,"4750",28471,13028
"National Park College","AR",1,"6250",32444,17994
"University of Arkansas Community College-Batesville","AR",1,"7085",33706,16591
"Harding University","AR",2,"21601",52876,36385
"Henderson State University","AR",1,"12000",43459,25946
"Hendrix College","AR",2,"19500",60376,52396
"John Brown University","AR",2,"17000",53907,43260
"Arkansas State University Mid-South","AR",1,"PS",31857,12556
"Arkansas Northeastern College","AR",1,"PS",33169,12037
"North Arkansas College","AR",1,"5928",34653,16367
"Northwest Technical Institute","AR",1,"PS",41513,16032
"Ouachita Baptist University","AR",2,"15000",51673,45132
"Arkansas State University Three Rivers","AR",1,"6500",37374,12748
"Ozarka College","AR",1,"7713",29314,11461
"University of the Ozarks","AR",2,"11000",44384,35391
"University of Arkansas Community College-Morrilton","AR",1,"6300",34924,17345
"Philander Smith University","AR",2,"14750",38427,26729
"Phillips Community College of the University of Arkansas","AR",1,"3500",29552,11778
"Southeast Arkansas College","AR",1,"6186",33603,15876
"University of Arkansas-Pulaski Technical College","AR",1,"7000",34722,21096
"University of Arkansas Hope-Texarkana","AR",1,"3500",34162,13787
"University of Arkansas Community College Rich Mountain","AR",1,"4875",30037,12933
"Williams Baptist University","AR",2,"9500",38484,32222
"South Arkansas College","AR",1,"7000",34521,12138
"Southern Arkansas University Main Campus","AR",1,"12500",42386,24721
"Southern Arkansas University Tech","AR",1,"4500",36376,16488
"University of Arkansas-Fort Smith","AR",1,"10750",41102,18052
"Academy of Art University","CA",3,"11000",39008,47195
"College of Alameda","CA",1,"9500",42563,17578
"Allan Hancock College","CA",1,"7888",42786,11544
"American Academy of Dramatic Arts-Los Angeles","CA",2,"12000",27019,55265
"American River College","CA",1,"9354",40162,12986
"Antelope Valley Community College District","CA",1,"8619",36526,15158
"Art Center College of Design","CA",2,"26000",71958,71652
"Azusa Pacific University","CA",2,"19710",66677,54735
"Bakersfield College","CA",1,"9500",37291,13726
"Barstow Community College","CA",1,"3463",35104,20871
"Biola University","CA",2,"19000",56778,58430
"Bryan University","AZ",3,"13763",40283,26688
"Butte College","CA",1,"8250",41810,13636
"Cabrillo College","CA",1,"9500",44114,23625
"California Baptist University","CA",2,"20500",61504,52408
"California College of the Arts","CA",2,"19500",49414,78664
"California Institute of Technology","CA",2,"12000",128566,83598
"California Lutheran University","CA",2,"18970",68712,63768
"California Polytechnic State University-San Luis Obispo","CA",1,"15396",90768,29918
"California State University-Bakersfield","CA",1,"11270",59009,18815
"California State University-Stanislaus","CA",1,"11750",63188,18542
"California State University-San Bernardino","CA",1,"12445",59977,16910
"California State Polytechnic University-Pomona","CA",1,"13437",71902,22672
"California State University-Chico","CA",1,"14500",64172,25590
"California State University-Dominguez Hills","CA",1,"11902",57162,15449
"California State University-Fresno","CA",1,"12463",61244,18650
"California State University-Fullerton","CA",1,"12000",62951,16767
"California State University-East Bay","CA",1,"12500",71401,22803
"California State University-Long Beach","CA",1,"12227",64403,20310
"California State University-Los Angeles","CA",1,"11966",59211,17153
"California State University-Northridge","CA",1,"12000",59115,20317
"California State University-Sacramento","CA",1,"12500",64876,22714
"University of California-Berkeley","CA",1,"12000",92446,42708
"University of California-Davis","CA",1,"11000",80838,38067
"University of California-Irvine","CA",1,"13820",80735,36121
"University of California-Los Angeles","CA",1,"12983",82511,36643
"University of California-Riverside","CA",1,"14944",67699,34975
"University of California-San Diego","CA",1,"14778",84943,36325
"University of California-Santa Barbara","CA",1,"11875",74915,36776
"University of California-Santa Cruz","CA",1,"14334",68396,38649
"California Institute of the Arts","CA",2,"16994",41198,78425
"California State University Maritime Academy","CA",1,"16889",94784,27138
"Canada College","CA",1,"9272",50087,9514
"College of the Canyons","CA",1,"6375",49022,10243
"Cerritos College","CA",1,"8350",41156,8409
"Cerro Coso Community College","CA",1,"5500",34963,15161
"Chabot College","CA",1,"8973",48143,12953
"Chaffey College","CA",1,"4325",42975,13553
"Chapman University","CA",2,"17750",70070,81327
"Charles R Drew University of Medicine and Science","CA",2,"14750",83438,33973
"Concordia University-Irvine","CA",2,"19000",65083,56500
"San Diego Christian College","CA",2,"13000",49766,40057
"Citrus College","CA",1,"5500",42065,12412
"City College of San Francisco","CA",1,"7497",45805,17007
"Claremont McKenna College","CA",2,"11948",104736,82127
"Coastline Community College","CA",1,"7683",44483,17984
"University of Silicon Valley","CA",3,"18334",51017,36361
"Columbia College","CA",1,"PS",39035,19688
"California College of ASU","CA",2,"13167",42014,33732
"Compton College","CA",1,"6463",34181,17782
"Contra Costa College","CA",1,"4750",40850,14511
"Cosumnes River College","CA",1,"8563",42446,12005
"Crafton Hills College","CA",1,"PS",42553,18384
"Cuesta College","CA",1,"9500",46047,20561
"Cuyamaca College","CA",1,"5136",32435,15940
"Cypress College","CA",1,"7500",43533,15752
"De Anza College","CA",1,"6495",56596,13167
"College of the Desert","CA",1,"5261",39020,20053
"Design Institute of San Diego","CA",3,"24530",46920,42093
"Diablo Valley College","CA",1,"6000",51378,14804
"Dominican University of California","CA",2,"24250",84713,68620
"East Los Angeles College","CA",1,"6999",42006,18645
"El Camino Community College District","CA",1,"4750",41589,13376
"Evergreen Valley College","CA",1,"9250",53077,22557
"FIDM-Fashion Institute of Design & Merchandising","CA",3,"12000",49840,53393
"Feather River Community College District","CA",1,"7000",38142,16502
"Foothill College","CA",1,"6795",57072,15772
"Fresno City College","CA",1,"3500",37361,12063
"Fresno Pacific University","CA",2,"19250",58896,42673
"Fullerton College","CA",1,"6500",43366,16206
"Gavilan College","CA",1,"5841",47169,10484
"Glendale Community College","CA",1,"7000",41540,15802
"Golden West College","CA",1,"5500",43145,12206
"Grossmont College","CA",1,"4500",40309,11543
"Hartnell College","CA",1,"4500",44316,12050
"Harvey Mudd College","CA",2,"19500",138687,84896
"California State Polytechnic University-Humboldt","CA",1,"14500",47626,24412
"Humphreys University-Stockton and Modesto Campuses","CA",2,"25000",39248,20286
"Imperial Valley College","CA",1,"PS",34487,12466
"Irvine Valley College","CA",1,"4500",49156,11750
"Reedley College","CA",1,"3500",38493,11413
"Life Pacific University","CA",2,"14000",43299,33193
"University of La Verne","CA",2,"21000",65464,61564
"Laguna College of Art and Design","CA",2,"18875",47867,56183
"Lake Tahoe Community College","CA",1,"5100",36657,17731
"Laney College","CA",1,"9301",37282,22777
"Lassen Community College","CA",1,"5500",35994,17063
"La Sierra University","CA",2,"18500",61824,49365
"Long Beach City College","CA",1,"7000",38870,12664
"Southern California University of Health Sciences","CA",2,"10950",70649,50742
"Los Angeles Harbor College","CA",1,"5795",41133,19463
"Los Angeles Pierce College","CA",1,"12500",44521,19844
"Los Angeles Southwest College","CA",1,"10000",32172,14768
"Los Angeles Trade Technical College","CA",1,"9500",35233,18516
"Los Angeles Valley College","CA",1,"9500",42678,18625
"The Master's University and Seminary","CA",2,"16327",57106,48682
"Los Angeles City College","CA",1,"9500",36190,16176
"Los Angeles Mission College","CA",1,"10432",39834,19525
"Los Medanos College","CA",1,"9326",42454,13850
"Loyola Marymount University","CA",2,"15000",78349,75867
"College of Marin","CA",1,"10062",42654,23789
"Mendocino College","CA",1,"9500",40243,16746
"Menlo College","CA",2,"13000",76419,69879
"Merced College","CA",1,"4188",37815,12722
"Merritt College","CA",1,"9500",44392,22559
"MiraCosta College","CA",1,"9488",43845,15713
"Mission College","CA",1,"8816",50936,15047
"Modesto Junior College","CA",1,"3375",42368,14769
"Monterey Peninsula College","CA",1,"8250",42176,21993
"Moorpark College","CA",1,"7161",49044,9685
"Mt San Antonio College","CA",1,"5500",46283,12077
"Mount Saint Mary's University","CA",2,"22167",72379,64637
"Mt San Jacinto Community College District","CA",1,"7000",38319,15091
"Musicians Institute","CA",3,"6334",32778,41795
"Napa Valley College","CA",1,"9371",49517,21563
"National University","CA",2,"18750",67548,37116
"Newschool of Architecture and Design","CA",3,"23618",68891,57642
"Occidental College","CA",2,"19000",75951,80636
"Ohlone College","CA",1,"9500",54278,22906
"Orange Coast College","CA",1,"6175",47348,13191
"Otis College of Art and Design","CA",2,"20000",58152,71880
"Oxnard College","CA",1,"7500",41393,9317
"Hope International University","CA",2,"15738",49697,51153
"Pacific Union College","CA",2,"19500",70484,47244
"University of the Pacific","CA",2,"17653",78445,68173
"Palo Verde College","CA",1,"PS",36389,21205
"Palomar College","CA",1,"3500",42300,13997
"Pasadena City College","CA",1,"6036",43937,12166
"Pepperdine University","CA",2,"19500",82939,85202
"Pitzer College","CA",2,"13000",69512,82832
"Point Loma Nazarene University","CA",2,"19500",63998,56664
"Pomona College","CA",2,"10000",77779,81196
"Porterville College","CA",1,"PS",36328,12522
"Santa Ana College","CA",1,"5500",43552,11848
"University of Redlands","CA",2,"21250",72690,70233
"College of the Redwoods","CA",1,"6666",36243,12251
"Rio Hondo College","CA",1,"4750",44950,19308
"Riverside City College","CA",1,"5500",41091,12427
"Sacramento City College","CA",1,"9256",42214,13062
"Saddleback College","CA",1,"6988",50874,11792
"San Diego City College","CA",1,"4500",38503,13255
"San Diego Mesa College","CA",1,"4500",45120,12964
"San Diego Miramar College","CA",1,"4239",48224,11428
"San Diego State University","CA",1,"12847",64909,27357
"University of San Diego","CA",2,"19019",86522,74879
"San Francisco State University","CA",1,"12923",68077,25258
"University of San Francisco","CA",2,"19000",89812,76421
"San Joaquin Delta College","CA",1,"7000",43212,17137
"William Jessup University","CA",2,"14419",56257,52172
"San Jose City College","CA",1,"5500",46215,24038
"San Jose State University","CA",1,"12000",78988,25695
"College of San Mateo","CA",1,"6875",54172,11875
"Santa Barbara City College","CA",1,"8250",47647,18682
"Santa Clara University","CA",2,"16845",109183,77768
"Santa Monica College","CA",1,"6500",42193,11353
"Santa Rosa Junior College","CA",1,"7250",47224,13649
"Scripps College","CA",2,"11853",77539,83330
"College of the Sequoias","CA",1,"4500",39092,8553
"Shasta College","CA",1,"9500",39269,11881
"Sierra College","CA",1,"9500",45294,12628
"Simpson University","CA",2,"13000",54340,52366
"College of the Siskiyous","CA",1,"8000",39098,14448
"Skyline College","CA",1,"7500",55702,10461
"San Bernardino Valley College","CA",1,"3938",39676,14655
"Saint Mary's College of California","CA",2,"19500",78812,73655
"Solano Community College","CA",1,"9500",44170,11440
"Sonoma State University","CA",1,"13000",65986,24739
"South Coast College","CA",3,"17346",44897,25025
"Vanguard University of Southern California","CA",2,"15000",59541,50178
"Southwestern College","CA",1,"4044",40060,19717
"Southern California Institute of Architecture","CA",2,"33250",71909,67014
"University of Southern California","CA",2,"16112",92498,84678
"Taft College","CA",1,"PS",38861,13012
"Thomas Aquinas College","CA",2,"18000",55619,40000
"Ventura College","CA",1,"6500",43430,9762
"Victor Valley College","CA",1,"7500",36119,11786
"Berkeley City College","CA",1,"9500",41217,17110
"Coalinga College","CA",1,"5500",37633,17249
"West Los Angeles College","CA",1,"9500",38537,15839
"West Valley College","CA",1,"7000",51688,13351
"Westmont College","CA",2,"19343",64778,68826
"Whittier College","CA",2,"18125",59492,63925
"Woodbury University","CA",2,"21500",65668,58180
"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","CA",2,"PS",48361,27600
"Yuba College","CA",1,"6000",39552,12200
"Adams State University","CO",1,"11750",44372,23800
"Aims Community College","CO",1,"5250",41887,14478
"Arapahoe Community College","CO",1,"6500",48341,16348
"Bel-Rea Institute of Animal Technology","CO",3,"11666",39506,29807
"University of Colorado Denver/Anschutz Medical Campus","CO",1,"14500",64270,23369
"University of Colorado Colorado Springs","CO",1,"12965",54659,23713
"Spartan College of Aeronautics and Technology","CO",3,"14750",59093,33357
"University of Colorado Boulder","CO",1,"13000",69738,33466
"Colorado Christian University","CO",2,"14000",50416,50206
"Colorado College","CO",2,"13400",65222,83228
"Colorado Mountain College","CO",1,"5500",44127,13717
"Colorado Northwestern Community College","CO",1,"8250",43526,21006
"Colorado School of Mines","CO",1,"17500",97335,38556
"Colorado State University-Fort Collins","CO",1,"14750",60543,29696
"Colorado Technical University-Colorado Springs","CO",3,"12166",37180,21694
"Community College of Aurora","CO",1,"6500",44592,16210
"Community College of Denver","CO",1,"5500",39095,18377
"University of Denver","CO",2,"18000",71155,75020
"Fort Lewis College","CO",1,"9000",46349,25558
"Front Range Community College","CO",1,"7000",45910,18087
"Lamar Community College","CO",1,"5973",38719,19366
"Colorado Mesa University","CO",1,"11000",45823,22883
"Metropolitan State University of Denver","CO",1,"12500",52093,22825
"Morgan Community College","CO",1,"5500",39429,15797
"Naropa University","CO",2,"14750",28720,52900
"Northeastern Junior College","CO",1,"5500",39893,20246
"University of Northern Colorado","CO",1,"13805",52231,26989
"Otero College","CO",1,"6000",39018,20413
"Pikes Peak State College","CO",1,"4900",40796,18345
"Pueblo Community College","CO",1,"5750",37434,19251
"Red Rocks Community College","CO",1,"4900",46288,18048
"Regis University","CO",2,"19750",72105,54889
"Rocky Mountain College of Art and Design","CO",3,"9500",42958,33950
"Colorado State University Pueblo","CO",1,"14475",55563,23891
"Pickens Technical College","CO",1,"PS",39210,11474
"Trinidad State College","CO",1,"6500",36475,21373
"Western Colorado University","CO",1,"12000",46833,25426
"Albertus Magnus College","CT",2,"25000",60144,56268
"University of Bridgeport","CT",2,"19500",50323,52786
"Central Connecticut State University","CT",1,"16750",58562,24112
"Charter Oak State College","CT",1,"12422",64209,22558
"Connecticut College","CT",2,"20000",75001,82219
"Porter & Chester Institute of Hamden","CT",3,"9500",42914,26012
"University of Connecticut","CT",1,"18610",73997,36572
"Goodwin University","CT",2,"14221",43596,39745
"Eastern Connecticut State University","CT",1,"18500",56469,30805
"Fairfield University","CT",2,"23251",88794,73371
"Connecticut State Community College","CT",1,"5235",41344,15360
"University of Hartford","CT",2,"19500",60823,62273
"Mitchell College","CT",2,"15000",39115,54089
"University of New Haven","CT",2,"20475",60126,63970
"Porter & Chester Institute","CT",3,"9500",41588,25552
"Post University","CT",3,"8750",38696,27202
"Quinnipiac University","CT",2,"21500",83759,69666
"Sacred Heart University","CT",2,"19860",75059,66669
"University of Saint Joseph","CT",2,"24000",59908,56786
"Southern Connecticut State University","CT",1,"15000",55043,28592
"Trinity College","CT",2,"21000",90779,83090
"Wesleyan University","CT",2,"13824",73897,85172
"Western Connecticut State University","CT",1,"17002",59115,24534
"Yale University","CT",2,"11648",100533,85120
"Delaware Technical Community College-Terry","DE",1,"5500",41448,13177
"Delaware State University","DE",1,"17500",49307,27536
"University of Delaware","DE",1,"21000",72950,29347
"Goldey-Beacom College","DE",2,"14375",59892,24633
"Wilmington University","DE",2,"14308",53844,19326
"American University","DC",2,"19500",77370,71549
"The Catholic University of America","DC",2,"22250",73250,73198
"University of the District of Columbia","DC",1,"14250",44236,20911
"Gallaudet University","DC",2,"12750",43101,39416
"George Washington University","DC",2,"19500",90873,80727
"Georgetown University","DC",2,"13500",103494,84696
"Howard University","DC",2,"19200",63066,51450
"Trinity Washington University","DC",2,"19402",53804,35061
"Baptist University of Florida","FL",2,"17073",42836,20596
"Barry University","FL",2,"15750",55966,48300
"Bethune-Cookman University","FL",2,"22500",38518,29782
"Lynn University","FL",2,"10413",49006,60817
"Eastern Florida State College","FL",1,"8279",37195,11174
"Broward College","FL",1,"4500",41939,24948
"Albizu University-Miami","FL",2,"5000",41544,48144
"College of Central Florida","FL",1,"8550",38203,17950
"Johnson University Florida","FL",2,"13500",40596,29179
"University of Central Florida","FL",1,"15000",58308,22819
"Charlotte Technical College","FL",1,"PS",36349,15126
"Chipola College","FL",1,"PS",37378,8804
"Daytona State College","FL",1,"5500",37096,11662
"South University-West Palm Beach","FL",3,"13000",34421,28722
"Eckerd College","FL",2,"19500",51819,66936
"Florida SouthWestern State College","FL",1,"5000",43421,14644
"Edward Waters University","FL",2,"11000",34782,26973
"Embry-Riddle Aeronautical University-Daytona Beach","FL",2,"14250",84131,59972
"Florida Agricultural and Mechanical University","FL",1,"17855",44349,24047
"Florida Atlantic University","FL",1,"12500",56746,21054
"Florida State College at Jacksonville","FL",1,"8750",42244,8994
"Flagler College","FL",2,"15000",49483,41734
"Florida College","FL",2,"10000",43445,32188
"AdventHealth University","FL",2,"18000",72282,38194
"Florida Institute of Technology","FL",2,"14049",43137,60387
"Florida International University","FL",1,"14246",60249,20556
"The College of the Florida Keys","FL",1,"8250",42508,19965
"Florida Memorial University","FL",2,"16475",36624,31940
"Florida Southern College","FL",2,"19500",55294,57174
"Florida State University","FL",1,"16100",61675,23683
"University of Florida","FL",1,"14000",71588,21719
"Full Sail University","FL",3,"14038",38219,39814
"Gulf Coast State College","FL",1,"5500",38359,12208
"Key College","FL",3,"PS",42267,16912
"Hillsborough Community College","FL",1,"6000",40782,10168
"Hobe Sound Bible College","FL",2,"PS",39863,17545
"Indian River State College","FL",1,"5500",38315,11764
"Jacksonville University","FL",2,"12803",68010,61414
"Keiser University-Ft Lauderdale","FL",2,"13000",39696,45701
"Florida Gateway College","FL",1,"5500",37894,11879
"Lake-Sumter State College","FL",1,"4500",39876,12292
"Luther Rice College & Seminary","GA",2,"16094",47003,11544
"State College of Florida-Manatee-Sarasota","FL",1,"5720",40318,28277
"Trinity International University-Florida","FL",2,"19500",46989,22540
"Miami Dade College","FL",1,"7500",40654,12535
"University of Miami","FL",2,"15250",75328,77708
"North Florida College","FL",1,"PS",33929,8897
"University of North Florida","FL",1,"11750",56343,20229
"Nova Southeastern University","FL",2,"16985",59209,55647
"Northwest Florida State College","FL",1,"5500",39664,12217
"Palm Beach Atlantic University","FL",2,"13816",49232,55576
"Palm Beach State College","FL",1,"5061",41923,16741
"Pasco-Hernando State College","FL",1,"7000",39903,11152
"Pensacola State College","FL",1,"5500",36739,9718
"Polk State College","FL",1,"6500",40624,12709
"Ridge Technical College","FL",1,"PS",33484,27493
"Ringling College of Art and Design","FL",2,"27000",43325,75726
"Rollins College","FL",2,"21385",58295,72790
"Saint Leo University","FL",2,"14250",48364,41727
"St Petersburg College","FL",1,"11000",42557,10634
"Santa Fe College","FL",1,"7125",41631,14353
"Seminole State College of Florida","FL",1,"7704",41733,9152
"Saint Johns River State College","FL",1,"8323",41728,12215
"South Florida State College","FL",1,"5387",39990,9865
"University of South Florida","FL",1,"14976",57743,22301
"St. Thomas University","FL",2,"9500",54272,49762
"Stetson University","FL",2,"15000",51642,69807
"Southeastern University","FL",2,"12000",46744,43803
"Tallahassee State College","FL",1,"5350",37561,13188
"The University of Tampa","FL",2,"18750",59436,49841
"Trinity Baptist College","FL",2,"11500",37275,25662
"Trinity College of Florida","FL",2,"12000",32465,25585
"Valencia College","FL",1,"5840",40594,16577
"Warner University","FL",2,"13000",46086,41556
"Webber International University","FL",2,"8750",45606,48464
"Rasmussen University-Florida","FL",3,"13000",39080,24746
"University of West Florida","FL",1,"13000",49137,18504
"Abraham Baldwin Agricultural College","GA",1,"8750",34996,13103
"Agnes Scott College","GA",2,"17750",56274,60585
"Interactive College of Technology-Chamblee","GA",3,"8661",27065,20095
"Interactive College of Technology-Morrow","GA",3,"8661",27065,20314
"Albany Technical College","GA",1,"5681",30541,13811
"Albany State University","GA",1,"12000",40674,20574
"Andrew College","GA",2,"9500",38475,35996
"Atlanta Technical College","GA",1,"6334",30350,9678
"Point University","GA",2,"14502",38740,34418
"Atlanta Metropolitan State College","GA",1,"6606",33252,11528
"Clark Atlanta University","GA",2,"19500",42712,40924
"Augusta Technical College","GA",1,"5500",33523,16410
"Berry College","GA",2,"18900",53800,55714
"Beulah Heights University","GA",2,"38980",35236,9992
"Brenau University","GA",2,"18425",54003,45931
"Brewton-Parker College","GA",2,"8250",42009,35557
"College of Coastal Georgia","GA",1,"8250",39318,18975
"West Georgia Technical College","GA",1,"5642",35479,10012
"Clayton  State University","GA",1,"16750",49179,17940
"Columbus Technical College","GA",1,"7245",34238,12783
"Columbus State University","GA",1,"15000",44544,19953
"Georgia Northwestern Technical College","GA",1,"3971",35759,11575
"Covenant College","GA",2,"19000",50412,53368
"Dalton State College","GA",1,"7361",40251,11292
"South University-Savannah","GA",3,"13000",34421,31163
"East Georgia State College","GA",1,"6374",37174,15472
"Emmanuel University","GA",2,"12000",38208,35188
"Emory University","GA",2,"16750",80137,78814
"Georgia Highlands College","GA",1,"6750",43184,12829
"Fort Valley State University","GA",1,"19000",36666,20342
"Georgia Institute of Technology-Main Campus","GA",1,"20000",102772,27797
"Georgia Southwestern State University","GA",1,"11000",48757,19234
"Georgia College & State University","GA",1,"16018",58140,27781
"Georgia Southern University","GA",1,"15250",53236,24563
"Georgia State University","GA",1,"11750",47384,26535
"University of Georgia","GA",1,"16666",68726,27436
"Gordon State College","GA",1,"8750",37871,14944
"Southern Crescent Technical College","GA",1,"6334",36104,13806
"Gupton Jones College of Funeral Service","GA",2,"9500",42636,25265
"Gwinnett College-Lilburn","GA",3,"9626",31422,31673
"Gwinnett Technical College","GA",1,"7056",45025,19078
"LaGrange College","GA",2,"15750",51745,47370
"Lanier Technical College","GA",1,"PS",37623,13193
"Life University","GA",2,"9500",47397,41192
"Chattahoochee Technical College","GA",1,"PS",37138,12295
"Herzing University-Atlanta","GA",2,"11756",36909,27195
"Mercer University","GA",2,"17655",58354,56494
"Morehouse College","GA",2,"18500",52889,47347
"North Georgia Technical College","GA",1,"5657",32932,12572
"Oglethorpe University","GA",2,"14750",55232,59320
"Paine College","GA",2,"11000",33338,27310
"Piedmont University","GA",2,"18108",49130,45359
"Miami Ad School-Atlanta","GA",3,"16849",106192,29647
"Reinhardt University","GA",2,"13156",46541,45689
"Savannah Technical College","GA",1,"3466",33018,14545
"Savannah College of Art and Design","GA",2,"15500",45954,59670
"Savannah State University","GA",1,"16500",37981,17185
"Shorter University","GA",2,"12500",44604,34985
"South Georgia Technical College","GA",1,"PS",30364,13115
"Spelman College","GA",2,"21750",59993,49349
"Thomas University","GA",2,"15000",49716,26189
"Toccoa Falls College","GA",2,"11067",36630,35666
"Truett McConnell University","GA",2,"12000",46700,37692
"Wiregrass Georgia Technical College","GA",1,"2438",30864,10925
"Valdosta State University","GA",1,"13750",49361,20202
"Wesleyan College","GA",2,"15000",44317,40591
"University of West Georgia","GA",1,"15000",49587,23504
"Young Harris College","GA",2,"12000",47195,45389
"Chaminade University of Honolulu","HI",2,"17932",52343,43637
"University of Hawaii at Hilo","HI",1,"12500",47856,20914
"University of Hawaii at Manoa","HI",1,"13099",57624,23832
"Hawaii Pacific University","HI",2,"12000",59593,49980
"Honolulu Community College","HI",1,"5995",45105,12369
"Kapiolani Community College","HI",1,"6352",44599,11562
"Kauai Community College","HI",1,"7000",36868,13608
"Leeward Community College","HI",1,"5500",39899,13842
"University of Hawaii Maui College","HI",1,"9500",34453,16225
"University of Hawaii-West Oahu","HI",1,"11848",52075,18190
"Windward Community College","HI",1,"7175",38439,14492
"Boise Bible College","ID",2,"12749",33140,22045
"Boise State University","ID",1,"14000",51658,25387
"College of Eastern Idaho","ID",1,"7953",42057,13392
"Idaho State University","ID",1,"12500",45608,21084
"University of Idaho","ID",1,"15784",54670,22669
"The College of Idaho","ID",2,"17000",48473,48451
